WAST,DP,Dta,Dts,Wind_Speed,QFE,QFF,Solar_Rad,RF,RH,Ambient_Air_Temperature
31/3/2016 21:20,11.8,230,11,4,1013.4,1016.9,22,0,59.6,19.92
31/3/2016 21:30,11.2,238,25,6,1013.5,1017,16,0,57.6,19.85
31/3/2016 21:40,10.7,226,28,5,1013.5,1017,30,0,56.2,19.67
31/3/2016 21:50,10.6,234,20,4,1013.4,1016.9,15,0,57,19.34
31/3/2016 22:00,10.8,233,14,3,1013.4,1016.9,27,0,58.2,19.24
31/3/2016 22:10,11,244,18,4,1013.4,1016.9,24,0,59.3,19.15
31/3/2016 22:20,11,252,15,4,1013.3,1016.8,23,0,59.1,19.27
31/3/2016 22:30,11.1,249,17,4,1013.3,1016.8,17,0,59.9,19.16
31/3/2016 22:40,11.1,238,19,4,1013.2,1016.7,19,0,59.3,19.25
31/3/2016 22:50,11.1,246,4,3,1013.2,1016.7,14,0,59.9,19.16
31/3/2016 23:00,11.3,250,5,3,1013.2,1016.7,17,0,61,19.09
31/3/2016 23:10,11.4,243,11,4,1013.1,1016.6,13,0,61.9,18.94
31/3/2016 23:20,11.5,250,12,4,1013,1016.5,11,0,62.8,18.81
31/3/2016 23:30,11.4,257,11,5,1012.9,1016.4,13,0,63.5,18.48
31/3/2016 23:40,11.4,250,15,5,1012.9,1016.4,10,0,64.7,18.19
31/3/2016 23:50,11.4,243,5,3,1012.7,1016.2,11,0,65.8,17.95
